0,1,2,3,4,5,6,7,accuracy,macro avg,weighted avg,corruption,acuraciaPorClasse
"{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.998003992015968, 'recall': 1.0, 'f1-score': 0.999000999000999, 'support': 500.0}","{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 0.998003992015968, 'recall': 1.0, 'f1-score': 0.999000999000999, 'support': 500.0}",0.9995,"{'precision': 0.999500998003992, 'recall': 0.9995, 'f1-score': 0.9994999994999996, 'support': 4000.0}","{'precision': 0.999500998003992, 'recall': 0.9995, 'f1-score': 0.9994999994999995, 'support': 4000.0}",Brightness severity 1,"[0.998, 1.0, 1.0, 1.0, 1.0, 1.0, 0.998, 1.0]"
"{'precision': 0.998, 'recall': 0.998, 'f1-score': 0.998, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 1.0, 'recall': 0.996, 'f1-score': 0.9979959919839679, 'support': 500.0}","{'precision': 0.9920634920634921, 'recall': 1.0, 'f1-score': 0.9960159362549801, 'support': 500.0}","{'precision': 0.9979959919839679, 'recall': 0.996, 'f1-score': 0.996996996996997, 'support': 500.0}","{'precision': 0.996, 'recall': 0.996, 'f1-score': 0.996, 'support': 500.0}",0.998,"{'precision': 0.9980074355059325, 'recall': 0.998, 'f1-score': 0.998000990529368, 'support': 4000.0}","{'precision': 0.9980074355059325, 'recall': 0.998, 'f1-score': 0.998000990529368, 'support': 4000.0}",Brightness severity 2,"[0.998, 1.0, 1.0, 0.998, 0.996, 1.0, 0.996, 0.996]"
"{'precision': 0.9920477137176938, 'recall': 0.998, 'f1-score': 0.9950149551345963, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 0.994, 'f1-score': 0.9969909729187563, 'support': 500.0}","{'precision': 1.0, 'recall': 0.98, 'f1-score': 0.98989898989899, 'support': 500.0}","{'precision': 0.9784735812133072, 'recall': 1.0, 'f1-score': 0.9891196834817013, 'support': 500.0}","{'precision': 0.9940119760479041, 'recall': 0.996, 'f1-score': 0.995004995004995, 'support': 500.0}","{'precision': 0.9959839357429718, 'recall': 0.992, 'f1-score': 0.9939879759519038, 'support': 500.0}",0.995,"{'precision': 0.9950646508402345, 'recall': 0.995, 'f1-score': 0.9950021965488678, 'support': 4000.0}","{'precision': 0.9950646508402347, 'recall': 0.995, 'f1-score': 0.9950021965488678, 'support': 4000.0}",Brightness severity 3,"[0.998, 1.0, 1.0, 0.994, 0.98, 1.0, 0.996, 0.992]"
"{'precision': 0.9671179883945842, 'recall': 1.0, 'f1-score': 0.983284169124877, 'support': 500.0}","{'precision': 0.9960159362549801, 'recall': 1.0, 'f1-score': 0.998003992015968, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 0.994, 'f1-score': 0.9969909729187563, 'support': 500.0}","{'precision': 1.0, 'recall': 0.93, 'f1-score': 0.9637305699481865, 'support': 500.0}","{'precision': 0.9560229445506692, 'recall': 1.0, 'f1-score': 0.9775171065493646, 'support': 500.0}","{'precision': 0.9841269841269841, 'recall': 0.992, 'f1-score': 0.9880478087649402, 'support': 500.0}","{'precision': 0.991869918699187, 'recall': 0.976, 'f1-score': 0.9838709677419355, 'support': 500.0}",0.9865,"{'precision': 0.9868942215033005, 'recall': 0.9864999999999999, 'f1-score': 0.9864306983830036, 'support': 4000.0}","{'precision': 0.9868942215033005, 'recall': 0.9865, 'f1-score': 0.9864306983830036, 'support': 4000.0}",Brightness severity 4,"[1.0, 1.0, 1.0, 0.994, 0.93, 1.0, 0.992, 0.976]"
"{'precision': 0.7473841554559043, 'recall': 1.0, 'f1-score': 0.8554319931565441, 'support': 500.0}","{'precision': 0.9959349593495935, 'recall': 0.98, 'f1-score': 0.9879032258064516, 'support': 500.0}","{'precision': 0.998003992015968, 'recall': 1.0, 'f1-score': 0.999000999000999, 'support': 500.0}","{'precision': 1.0, 'recall': 0.98, 'f1-score': 0.98989898989899, 'support': 500.0}","{'precision': 0.997093023255814, 'recall': 0.686, 'f1-score': 0.8127962085308057, 'support': 500.0}","{'precision': 0.9140767824497258, 'recall': 1.0, 'f1-score': 0.9551098376313276, 'support': 500.0}","{'precision': 0.9410609037328095, 'recall': 0.958, 'f1-score': 0.9494549058473737, 'support': 500.0}","{'precision': 0.9821428571428571, 'recall': 0.88, 'f1-score': 0.9282700421940928, 'support': 500.0}",0.9355,"{'precision': 0.946962084175334, 'recall': 0.9355, 'f1-score': 0.9347332752583231, 'support': 4000.0}","{'precision': 0.946962084175334, 'recall': 0.9355, 'f1-score': 0.9347332752583232, 'support': 4000.0}",Brightness severity 5,"[1.0, 0.98, 1.0, 0.98, 0.686, 1.0, 0.958, 0.88]"
"{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 0.992, 'f1-score': 0.9959839357429718, 'support': 500.0}","{'precision': 0.984251968503937, 'recall': 1.0, 'f1-score': 0.9920634920634921, 'support': 500.0}","{'precision': 0.998003992015968, 'recall': 1.0, 'f1-score': 0.999000999000999, 'support': 500.0}","{'precision': 1.0, 'recall': 0.992, 'f1-score': 0.9959839357429718, 'support': 500.0}",0.99775,"{'precision': 0.9977819950649881, 'recall': 0.99775, 'f1-score': 0.9977539201936791, 'support': 4000.0}","{'precision': 0.9977819950649881, 'recall': 0.99775, 'f1-score': 0.9977539201936793, 'support': 4000.0}",Contrast severity 1,"[0.998, 1.0, 1.0, 1.0, 0.992, 1.0, 1.0, 0.992]"
"{'precision': 0.9881188118811881, 'recall': 0.998, 'f1-score': 0.9930348258706467, 'support': 500.0}","{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.998, 'recall': 0.998, 'f1-score': 0.998, 'support': 500.0}","{'precision': 1.0, 'recall': 0.904, 'f1-score': 0.9495798319327731, 'support': 500.0}","{'precision': 0.8488964346349746, 'recall': 1.0, 'f1-score': 0.9182736455463728, 'support': 500.0}","{'precision': 0.9708171206225681, 'recall': 0.998, 'f1-score': 0.9842209072978304, 'support': 500.0}","{'precision': 1.0, 'recall': 0.882, 'f1-score': 0.9373007438894793, 'support': 500.0}",0.97225,"{'precision': 0.9757290458923413, 'recall': 0.97225, 'f1-score': 0.9724261191920127, 'support': 4000.0}","{'precision': 0.9757290458923412, 'recall': 0.97225, 'f1-score': 0.9724261191920127, 'support': 4000.0}",Contrast severity 2,"[0.998, 0.998, 1.0, 0.998, 0.904, 1.0, 0.998, 0.882]"
"{'precision': 0.9289719626168225, 'recall': 0.994, 'f1-score': 0.9603864734299516, 'support': 500.0}","{'precision': 1.0, 'recall': 0.968, 'f1-score': 0.983739837398374, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.9918367346938776, 'recall': 0.972, 'f1-score': 0.9818181818181818, 'support': 500.0}","{'precision': 0.9847328244274809, 'recall': 0.774, 'f1-score': 0.8667413213885778, 'support': 500.0}","{'precision': 0.7098150782361309, 'recall': 0.998, 'f1-score': 0.829592684954281, 'support': 500.0}","{'precision': 0.912639405204461, 'recall': 0.982, 'f1-score': 0.9460500963391136, 'support': 500.0}","{'precision': 1.0, 'recall': 0.714, 'f1-score': 0.8331388564760793, 'support': 500.0}",0.92525,"{'precision': 0.9409995006473466, 'recall': 0.92525, 'f1-score': 0.9251834314755699, 'support': 4000.0}","{'precision': 0.9409995006473466, 'recall': 0.92525, 'f1-score': 0.9251834314755699, 'support': 4000.0}",Contrast severity 3,"[0.994, 0.968, 1.0, 0.972, 0.774, 0.998, 0.982, 0.714]"
"{'precision': 0.7722929936305732, 'recall': 0.97, 'f1-score': 0.8599290780141844, 'support': 500.0}","{'precision': 1.0, 'recall': 0.786, 'f1-score': 0.8801791713325868, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.9877149877149877, 'recall': 0.804, 'f1-score': 0.886438809261301, 'support': 500.0}","{'precision': 0.9209621993127147, 'recall': 0.536, 'f1-score': 0.6776232616940582, 'support': 500.0}","{'precision': 0.5263157894736842, 'recall': 1.0, 'f1-score': 0.6896551724137931, 'support': 500.0}","{'precision': 0.8017094017094017, 'recall': 0.938, 'f1-score': 0.864516129032258, 'support': 500.0}","{'precision': 1.0, 'recall': 0.492, 'f1-score': 0.6595174262734584, 'support': 500.0}",0.81575,"{'precision': 0.8761244214801702, 'recall': 0.81575, 'f1-score': 0.8147323810027051, 'support': 4000.0}","{'precision': 0.8761244214801702, 'recall': 0.81575, 'f1-score': 0.814732381002705, 'support': 4000.0}",Contrast severity 4,"[0.97, 0.786, 1.0, 0.804, 0.536, 1.0, 0.938, 0.492]"
"{'precision': 0.6058252427184466, 'recall': 0.624, 'f1-score': 0.6147783251231527, 'support': 500.0}","{'precision': 0.9393939393939394, 'recall': 0.186, 'f1-score': 0.3105175292153589, 'support': 500.0}","{'precision': 1.0, 'recall': 0.98, 'f1-score': 0.98989898989899, 'support': 500.0}","{'precision': 0.8970588235294118, 'recall': 0.122, 'f1-score': 0.2147887323943662, 'support': 500.0}","{'precision': 0.4888888888888889, 'recall': 0.044, 'f1-score': 0.08073394495412844, 'support': 500.0}","{'precision': 0.22065313327449249, 'recall': 1.0, 'f1-score': 0.3615328994938539, 'support': 500.0}","{'precision': 0.5765765765765766, 'recall': 0.512, 'f1-score': 0.5423728813559322, 'support': 500.0}","{'precision': 0.9863013698630136, 'recall': 0.144, 'f1-score': 0.2513089005235602, 'support': 500.0}",0.4515,"{'precision': 0.7143372467805962, 'recall': 0.4515, 'f1-score': 0.4207415253699178, 'support': 4000.0}","{'precision': 0.7143372467805962, 'recall': 0.4515, 'f1-score': 0.42074152536991777, 'support': 4000.0}",Contrast severity 5,"[0.624, 0.186, 0.98, 0.122, 0.044, 1.0, 0.512, 0.144]"
"{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.998003992015968, 'recall': 1.0, 'f1-score': 0.999000999000999, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}",0.99975,"{'precision': 0.999750499001996, 'recall': 0.99975, 'f1-score': 0.9997499997499997, 'support': 4000.0}","{'precision': 0.999750499001996, 'recall': 0.99975, 'f1-score': 0.9997499997499997, 'support': 4000.0}",Defocus Blur severity 1,"[0.998, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
"{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.998003992015968, 'recall': 1.0, 'f1-score': 0.999000999000999, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}",0.99975,"{'precision': 0.999750499001996, 'recall': 0.99975, 'f1-score': 0.9997499997499997, 'support': 4000.0}","{'precision': 0.999750499001996, 'recall': 0.99975, 'f1-score': 0.9997499997499997, 'support': 4000.0}",Defocus Blur severity 2,"[0.998, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
"{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 0.9960159362549801, 'recall': 1.0, 'f1-score': 0.998003992015968, 'support': 500.0}","{'precision': 0.998, 'recall': 0.998, 'f1-score': 0.998, 'support': 500.0}","{'precision': 0.998, 'recall': 0.998, 'f1-score': 0.998, 'support': 500.0}",0.999,"{'precision': 0.9990019920318725, 'recall': 0.999, 'f1-score': 0.9990002487517458, 'support': 4000.0}","{'precision': 0.9990019920318726, 'recall': 0.999, 'f1-score': 0.9990002487517458, 'support': 4000.0}",Defocus Blur severity 3,"[0.998, 1.0, 1.0, 1.0, 0.998, 1.0, 0.998, 0.998]"
"{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.998003992015968, 'recall': 1.0, 'f1-score': 0.999000999000999, 'support': 500.0}","{'precision': 0.998, 'recall': 0.998, 'f1-score': 0.998, 'support': 500.0}","{'precision': 0.998, 'recall': 0.998, 'f1-score': 0.998, 'support': 500.0}",0.99925,"{'precision': 0.999250499001996, 'recall': 0.99925, 'f1-score': 0.9992499997499997, 'support': 4000.0}","{'precision': 0.999250499001996, 'recall': 0.99925, 'f1-score': 0.9992499997499997, 'support': 4000.0}",Defocus Blur severity 4,"[0.998, 1.0, 1.0, 1.0, 1.0, 1.0, 0.998, 0.998]"
"{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 0.996, 'f1-score': 0.9979959919839679, 'support': 500.0}","{'precision': 0.9940357852882704, 'recall': 1.0, 'f1-score': 0.9970089730807578, 'support': 500.0}","{'precision': 0.998, 'recall': 0.998, 'f1-score': 0.998, 'support': 500.0}","{'precision': 0.998, 'recall': 0.998, 'f1-score': 0.998, 'support': 500.0}",0.99875,"{'precision': 0.9987544731610338, 'recall': 0.99875, 'f1-score': 0.9987504955079656, 'support': 4000.0}","{'precision': 0.9987544731610337, 'recall': 0.99875, 'f1-score': 0.9987504955079656, 'support': 4000.0}",Defocus Blur severity 5,"[0.998, 1.0, 1.0, 1.0, 0.996, 1.0, 0.998, 0.998]"
"{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 0.996, 'f1-score': 0.9979959919839679, 'support': 500.0}","{'precision': 0.9920634920634921, 'recall': 1.0, 'f1-score': 0.9960159362549801, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}",0.999,"{'precision': 0.9990079365079365, 'recall': 0.999, 'f1-score': 0.9990012407796183, 'support': 4000.0}","{'precision': 0.9990079365079365, 'recall': 0.999, 'f1-score': 0.9990012407796183, 'support': 4000.0}",Elastic severity 1,"[0.998, 1.0, 1.0, 1.0, 0.996, 1.0, 1.0, 0.998]"
"{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.998003992015968, 'recall': 1.0, 'f1-score': 0.999000999000999, 'support': 500.0}","{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 0.998003992015968, 'recall': 1.0, 'f1-score': 0.999000999000999, 'support': 500.0}",0.9995,"{'precision': 0.999500998003992, 'recall': 0.9995, 'f1-score': 0.9994999994999996, 'support': 4000.0}","{'precision': 0.999500998003992, 'recall': 0.9995, 'f1-score': 0.9994999994999995, 'support': 4000.0}",Elastic severity 2,"[0.998, 1.0, 1.0, 1.0, 1.0, 1.0, 0.998, 1.0]"
"{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 0.996, 'f1-score': 0.9979959919839679, 'support': 500.0}","{'precision': 0.9940357852882704, 'recall': 1.0, 'f1-score': 0.9970089730807578, 'support': 500.0}","{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 0.998003992015968, 'recall': 1.0, 'f1-score': 0.999000999000999, 'support': 500.0}",0.999,"{'precision': 0.9990049721630299, 'recall': 0.999, 'f1-score': 0.9990004952579654, 'support': 4000.0}","{'precision': 0.9990049721630299, 'recall': 0.999, 'f1-score': 0.9990004952579653, 'support': 4000.0}",Elastic severity 3,"[0.998, 1.0, 1.0, 1.0, 0.996, 1.0, 0.998, 1.0]"
"{'precision': 0.9940119760479041, 'recall': 0.996, 'f1-score': 0.995004995004995, 'support': 500.0}","{'precision': 0.9960159362549801, 'recall': 1.0, 'f1-score': 0.998003992015968, 'support': 500.0}","{'precision': 1.0, 'recall': 0.996, 'f1-score': 0.9979959919839679, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.996, 'recall': 0.996, 'f1-score': 0.996, 'support': 500.0}","{'precision': 0.9940239043824701, 'recall': 0.998, 'f1-score': 0.9960079840319361, 'support': 500.0}","{'precision': 0.998, 'recall': 0.998, 'f1-score': 0.998, 'support': 500.0}","{'precision': 0.9979879275653923, 'recall': 0.992, 'f1-score': 0.9949849548645938, 'support': 500.0}",0.997,"{'precision': 0.9970049680313433, 'recall': 0.997, 'f1-score': 0.9969997397376826, 'support': 4000.0}","{'precision': 0.9970049680313433, 'recall': 0.997, 'f1-score': 0.9969997397376826, 'support': 4000.0}",Elastic severity 4,"[0.996, 1.0, 0.996, 1.0, 0.996, 0.998, 0.998, 0.992]"
"{'precision': 0.9959266802443992, 'recall': 0.978, 'f1-score': 0.9868819374369324, 'support': 500.0}","{'precision': 0.9416195856873822, 'recall': 1.0, 'f1-score': 0.9699321047526673, 'support': 500.0}","{'precision': 1.0, 'recall': 0.98, 'f1-score': 0.98989898989899, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.9877551020408163, 'recall': 0.968, 'f1-score': 0.9777777777777777, 'support': 500.0}","{'precision': 0.980276134122288, 'recall': 0.994, 'f1-score': 0.9870903674280039, 'support': 500.0}","{'precision': 0.9940119760479041, 'recall': 0.996, 'f1-score': 0.995004995004995, 'support': 500.0}","{'precision': 0.9938775510204082, 'recall': 0.974, 'f1-score': 0.9838383838383838, 'support': 500.0}",0.98625,"{'precision': 0.9866833786453998, 'recall': 0.9862500000000001, 'f1-score': 0.9863030695172188, 'support': 4000.0}","{'precision': 0.9866833786453997, 'recall': 0.98625, 'f1-score': 0.9863030695172188, 'support': 4000.0}",Elastic severity 5,"[0.978, 1.0, 0.98, 1.0, 0.968, 0.994, 0.996, 0.974]"
"{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 0.988, 'f1-score': 0.993963782696177, 'support': 500.0}","{'precision': 0.984251968503937, 'recall': 1.0, 'f1-score': 0.9920634920634921, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 1.0, 'recall': 0.998, 'f1-score': 0.998998998998999, 'support': 500.0}",0.998,"{'precision': 0.9980314960629921, 'recall': 0.998, 'f1-score': 0.9980031590947084, 'support': 4000.0}","{'precision': 0.9980314960629921, 'recall': 0.998, 'f1-score': 0.9980031590947084, 'support': 4000.0}",Fog severity 1,"[0.998, 1.0, 1.0, 1.0, 0.988, 1.0, 1.0, 0.998]"
"{'precision': 0.9979959919839679, 'recall': 0.996, 'f1-score': 0.996996996996997, 'support': 500.0}","{'precision': 1.0, 'recall': 0.996, 'f1-score': 0.9979959919839679, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.9960159362549801, 'recall': 1.0, 'f1-score': 0.998003992015968, 'support': 500.0}","{'precision': 1.0, 'recall': 0.946, 'f1-score': 0.9722507708119219, 'support': 500.0}","{'precision': 0.9191176470588235, 'recall': 1.0, 'f1-score': 0.9578544061302682, 'support': 500.0}","{'precision': 0.9652509652509652, 'recall': 1.0, 'f1-score': 0.9823182711198428, 'support': 500.0}","{'precision': 0.9978540772532188, 'recall': 0.93, 'f1-score': 0.9627329192546584, 'support': 500.0}",0.9835,"{'precision': 0.9845293272252444, 'recall': 0.9835, 'f1-score': 0.9835191685392031, 'support': 4000.0}","{'precision': 0.9845293272252444, 'recall': 0.9835, 'f1-score': 0.9835191685392031, 'support': 4000.0}",Fog severity 2,"[0.996, 0.996, 1.0, 1.0, 0.946, 1.0, 1.0, 0.93]"
"{'precision': 0.9783037475345168, 'recall': 0.992, 'f1-score': 0.9851042701092354, 'support': 500.0}","{'precision': 1.0, 'recall': 0.984, 'f1-score': 0.9919354838709677, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.9940357852882704, 'recall': 1.0, 'f1-score': 0.9970089730807578, 'support': 500.0}","{'precision': 1.0, 'recall': 0.854, 'f1-score': 0.9212513484358145, 'support': 500.0}","{'precision': 0.8077544426494345, 'recall': 1.0, 'f1-score': 0.8936550491510277, 'support': 500.0}","{'precision': 0.8417508417508418, 'recall': 1.0, 'f1-score': 0.9140767824497258, 'support': 500.0}","{'precision': 1.0, 'recall': 0.716, 'f1-score': 0.8344988344988346, 'support': 500.0}",0.94325,"{'precision': 0.952730602152883, 'recall': 0.94325, 'f1-score': 0.9421913426995454, 'support': 4000.0}","{'precision': 0.952730602152883, 'recall': 0.94325, 'f1-score': 0.9421913426995454, 'support': 4000.0}",Fog severity 3,"[0.992, 0.984, 1.0, 1.0, 0.854, 1.0, 1.0, 0.716]"
"{'precision': 0.8521739130434782, 'recall': 0.98, 'f1-score': 0.9116279069767442, 'support': 500.0}","{'precision': 1.0, 'recall': 0.926, 'f1-score': 0.9615784008307373, 'support': 500.0}","{'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 500.0}","{'precision': 0.988, 'recall': 0.988, 'f1-score': 0.988, 'support': 500.0}","{'precision': 0.99375, 'recall': 0.636, 'f1-score': 0.775609756097561, 'support': 500.0}","{'precision': 0.7173601147776184, 'recall': 1.0, 'f1-score': 0.835421888053467, 'support': 500.0}","{'precision': 0.7062146892655368, 'recall': 1.0, 'f1-score': 0.8278145695364238, 'support': 500.0}","{'precision': 0.9957805907172996, 'recall': 0.472, 'f1-score': 0.6404341926729986, 'support': 500.0}",0.87525,"{'precision': 0.9066599134754916, 'recall': 0.8752500000000001, 'f1-score': 0.8675608392709915, 'support': 4000.0}","{'precision': 0.9066599134754917, 'recall': 0.87525, 'f1-score': 0.8675608392709916, 'support': 4000.0}",Fog severity 4,"[0.98, 0.926, 1.0, 0.988, 0.636, 1.0, 1.0, 0.472]"
